Páginas principales,Clics,Impresiones,CTR,Posición
https://www.uxnicorp.com.ar/servicios/landing-pages,2,113,1.77%,5.67
https://www.uxnicorp.com.ar/servicios/sistemas-gestion,1,21,4.76%,3.95
https://www.uxnicorp.com.ar/servicios/auditorias,1,10,10%,4.5
https://www.uxnicorp.com.ar/,1,3,33.33%,6.67
https://www.uxnicorp.com.ar/como-trabajamos,0,6,0%,5.17
https://www.uxnicorp.com.ar/sobre-nosotros,0,5,0%,5.4
https://www.uxnicorp.com.ar/servicios/ecommerce,0,5,0%,38.6
https://www.uxnicorp.com.ar/servicios,0,3,0%,2.67
https://www.uxnicorp.com.ar/casos-reales,0,3,0%,7
https://www.uxnicorp.com.ar/servicios/paquetes,0,1,0%,5
